CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
1,Male,19,15,39,4,"Moderate Income, Moderate Spending"
2,Male,21,15,81,2,"Low Income, Low Spending"
3,Female,20,16,6,4,"Moderate Income, Moderate Spending"
4,Female,23,16,77,2,"Low Income, Low Spending"
5,Female,31,17,40,4,"Moderate Income, Moderate Spending"
6,Female,22,17,76,2,"Low Income, Low Spending"
7,Female,35,18,6,4,"Moderate Income, Moderate Spending"
8,Female,23,18,94,2,"Low Income, Low Spending"
9,Male,64,19,3,4,"Moderate Income, Moderate Spending"
10,Female,30,19,72,2,"Low Income, Low Spending"
11,Male,67,19,14,4,"Moderate Income, Moderate Spending"
12,Female,35,19,99,2,"Low Income, Low Spending"
13,Female,58,20,15,4,"Moderate Income, Moderate Spending"
14,Female,24,20,77,2,"Low Income, Low Spending"
15,Male,37,20,13,4,"Moderate Income, Moderate Spending"
16,Male,22,20,79,2,"Low Income, Low Spending"
17,Female,35,21,35,4,"Moderate Income, Moderate Spending"
18,Male,20,21,66,2,"Low Income, Low Spending"
19,Male,52,23,29,4,"Moderate Income, Moderate Spending"
20,Female,35,23,98,2,"Low Income, Low Spending"
21,Male,35,24,35,4,"Moderate Income, Moderate Spending"
22,Male,25,24,73,2,"Low Income, Low Spending"
23,Female,46,25,5,4,"Moderate Income, Moderate Spending"
24,Male,31,25,73,2,"Low Income, Low Spending"
25,Female,54,28,14,4,"Moderate Income, Moderate Spending"
26,Male,29,28,82,2,"Low Income, Low Spending"
27,Female,45,28,32,4,"Moderate Income, Moderate Spending"
28,Male,35,28,61,2,"Low Income, Low Spending"
29,Female,40,29,31,4,"Moderate Income, Moderate Spending"
30,Female,23,29,87,2,"Low Income, Low Spending"
31,Male,60,30,4,4,"Moderate Income, Moderate Spending"
32,Female,21,30,73,2,"Low Income, Low Spending"
33,Male,53,33,4,4,"Moderate Income, Moderate Spending"
34,Male,18,33,92,2,"Low Income, Low Spending"
35,Female,49,33,14,4,"Moderate Income, Moderate Spending"
36,Female,21,33,81,2,"Low Income, Low Spending"
37,Female,42,34,17,4,"Moderate Income, Moderate Spending"
38,Female,30,34,73,2,"Low Income, Low Spending"
39,Female,36,37,26,4,"Moderate Income, Moderate Spending"
